Date,Max Temp,Min Temp,Observed Temp,"Rain Melted, snow, etc","Snow, ice pellets, hail","Snow ice pellets, hail, ice on ground",RAIN GAUGE,Wind Direction,Wind Speed MPH,Sky Cover,Cloud Type,Notes
11/2/89,34,32,33,0.16,1.5,1.5,,19,4.18,8,St,
11/1/89,39,36,36,0.02,T,T,,312,5.98,7,Cu,
10/31/89,51,47,50,0.38,,,,259,4.74,8,Ns,rain
10/30/89,59,50,57,0.02,,,,269,3.15,7,Cu,
10/29/89,71,50,50,0,,,,228,3.04,4,Cs,
10/28/89,66,48,54,T,,,,232,2.36,7,sc,
10/27/89,72,48,48,0,,,,216,2.67,0,,
10/26/89,73,47,54,T,,,,253,3.03,0,,
10/25/89,74,43,47,0,,,,230,2.62,2,St,
10/24/89,68,38,43,0,,,,176,2.03,0,,
10/23/89,64,35,45,0,,,,250,3.12,7,Sc,
10/22/89,57,35,36,0,,,,270,3.3,0,,
10/21/89,42,36,38,0.05,,,,355,5,7,Sc,
10/20/89,42,33,37,0.33,,,,81,2.67,8,Ns,
10/19/89,41,32,33,0.01,,,,80,4.08,8,St,
10/18/89,39,32,32,0,,,,42,4.82,0,,
10/17/89,41,35,35,0,,,,37,4.65,8,Sc,
10/16/89,49,45,49,0.8,,,,15,4.65,8,Ns,
10/15/89,51,42,44,0.02,,,,119,2.3,9,,
10/14/89,58,45,47,0,,,,126,3.12,8,St,
10/13/89,62,45,45,0,,,,307,3.32,1,Cu,
10/12/89,61,40,48,0.05,,,,276,5.91,0,,
10/11/89,65,40,40,0,,,,210,4.05,8,St,
10/10/89,43,28,40,0.2,,,,87,3.28,8,Ns,
10/9/89,50,28,28,0,,,,263,3.1,2,Ci,
10/8/89,41,33,39,0,,,,356,3.84,8,Cu,
10/7/89,43,38,40,0.05,,,,332,5.56,7,Cu,
10/6/89,51,38,47,0.09,,,,309,6.72,8,Sc,
10/5/89,51,36,38,0.26,,,,233,2.69,6,St,
10/4/89,52,35,38,0,,,,298,5.37,3,Cu,
10/3/89,42,38,38,0.03,,,,327,7.13,8,Cu,some snow in morning
10/2/89,62,48,58,0.14,,,,319,6.11,8,St,
10/1/89,77,40,48,0,,,,204,2.72,0,,
9/30/89,70,38,40,0,,,,215,2.24,0,,
9/29/89,60,50,50,0,,,,329,5.22,2,Ci,
9/28/89,71,32,52,0,,,,261,6.76,3,Cu,
9/27/89,59,31,32,0,,,,264,2.86,0,,first frost in camp
9/26/89,49,45,45,0,,,,2,6.49,2,Cu,
9/25/89,64,38,45,0,,,,279,5.53,6,Ci,
9/24/89,57,38,38,0,,,,269,3.55,3,Cu,
9/23/89,46,39,44,0.09,,,,354,9.27,2,Cu,
9/22/89,71,56,57,0.05,,,,326,5.88,8,Cs,
9/21/89,77,55,56,0,,,,229,2.61,0,,
9/20/89,77,52,55,0,,,,254,2.43,8,Sc,
9/19/89,76,51,52,0,,,,214,2.74,0,,
9/18/89,76,50,51,0,,,,191,2.13,0,,
9/17/89,73,48,50,0,,,,230,1.92,0,,
9/16/89,69,47,52,0,,,,175,1.71,7,As,
9/15/89,70,43,47,0,,,,263,2.61,0,,
9/14/89,64,42,43,0,,,,228,2.41,1,Ci,
9/13/89,60,51,51,0,,,,10,2.41,8,Sc,
9/12/89,60,52,55,0,,,,291,4.24,7,Sc,
9/11/89,70,53,54,0,,,,78,2.27,9,,
9/10/89,70,57,58,0,,,,351,4.25,0,,
9/9/89,64,59,64,0.74,,,,32,3.5,8,Ns,
9/8/89,75,64,68,0.05,,,,275,3.13,8,Ns,
9/7/89,77,58,64,0.15,,,,210,2.22,0,,
9/6/89,82,57,58,0,,,,194,2.32,0,,
9/5/89,76,58,58,0,,,,260,3.41,3,Cu,
9/4/89,72,53,60,0.01,,,,181,3.27,8,Cu,
9/3/89,73,52,58,0,,,,194,2.17,1,Cu,
9/2/89,71,53,59,0,,,,318,3.85,0,,
9/1/89,65,57,61,0.55,,,,19,3.44,8,Ns,
8/31/89,76,56,57,1.15,,,,220,2.26,8,St,
8/30/89,71,61,62,0,,,,309,4.62,3,Cu,
8/29/89,76,59,64,0.01,,,,266,4.16,,,
8/28/89,70,59,59,T,,,,134,2.57,9,,
8/27/89,73,54,63,0.16,,,,289,2.84,,,
8/26/89,75,52,54,0,,,,148,2.41,,,
8/25/89,71,49,52,0,,,,125,2.8,,,
8/24/89,64,58,59,0,,,,108,3.06,,,
8/23/89,70,58,58,0,,,,28,3.19,,,
8/22/89,72,59,59,0.18,,,,257,4.58,0,,
8/21/89,73,60,60,0.07,,,,318,3.85,4,Cu,
8/20/89,78,60,64,0,,,,231,3.11,8,Sc,
8/19/89,80,51,65,0,,,,208,3.01,0,,
8/18/89,77,49,51,0,,,,161,2.91,0,,
8/17/89,67,52,53,0,,,,88,2.57,,,
8/16/89,62,50,53,0,,,,325,3.9,0,,
8/15/89,64,64,64,0.25,,,,326,3.58,8,Ns,
8/14/89,77,65,65,0.05,,,,233,2.24,8,Cs,
8/13/89,81,61,75,0,,,,244,2.3,0,,
8/12/89,83,61,64,0.73,,,,297,2.1,2,St,
8/11/89,84,55,61,T,,,,,,0,,
8/10/89,82,56,57,0,,,,,,,,
8/9/89,75,56,56,0,,,,,,,,
8/8/89,67,47,56,0,,,,,,9,,
8/7/89,68,50,52,T,,,,,,7,Cu,
8/6/89,59,54,54,0,,,,349,6.63,8,Sc,
8/5/89,86,64,,T,,,,277,4.08,4,Sc,
8/4/89,87,71,72,0.05,,,,277,3.77,7,Sc,
8/3/89,90,69,71,0.92,,,,265,6.58,4,Ci,
8/2/89,84,62,69,0.07,,,,274,6.63,5,As,
8/1/89,84,60,62,0,,,,264,3.22,0,,
7/31/89,76,61,63,T,,,,23,1.68,8,Sc,
7/30/89,75,59,62,0,,,,124,2.17,0,,
7/29/89,74,51,63,0.03,,,,291,2.64,7,Ci,
7/28/89,75,59,59,0,,,,33,4.21,0,,
7/27/89,78,69,69,0.19,,,,309,5.14,5,As,
7/26/89,91,68,72,T,,,,274,4.06,0,,
7/25/89,89,66,68,0,,,,269,2.81,0,,
7/24/89,88,65,67,0,,,,294,2.52,0,,
7/23/89,86,67,68,0,,,,19,2.21,8,Ci,
7/22/89,86,60,68,0,,,,148,1.94,0,,
7/21/89,84,58,62,0,,,,125,3.05,0,,
7/20/89,82,62,64,0,,,,97,2.99,0,,
7/19/89,74,63,64,T,,,,67,2.71,8,Ns,
7/18/89,84,59,63,0.01,,,,250,2.9,0,,
7/17/89,80,57,61,0,,,,264,2.21,0,,
7/16/89,79,51,58,0,,,,3,2.31,0,,
7/15/89,76,49,62,0,,,,340,2.74,0,,
7/14/89,72,59,60,0,,,,4,3.87,8,Sc,
7/13/89,74,61,64,0,,,,36,3.75,8,Sc,
7/12/89,79,59,61,T,,,,66,2.27,4,As,
7/11/89,76,60,62,0,,,,42,2.93,8,Ci,
7/10/89,77,70,75,0,,,,313,6.05,0,,
7/9/89,87,58,70,0,,,,254,2.88,8,Sc,
7/8/89,78,55,63,0,,,,324,3.54,0,,
7/7/89,81,64,65,0,,,,0,3.95,0,,
7/6/89,87,65,70,0,,,,273,3.78,4,Sc,
7/5/89,87,63,66,0,,,,98,2.43,0,,
7/4/89,86,65,68,0,,,,354,3.26,0,,
7/3/89,88,63,68,0,,,,274,3.26,0,,
7/2/89,87,60,68,0,,,,189,2.27,0,,
7/1/89,83,54,65,0,,,,249,2.72,0,,
6/30/89,81,50,56,0,,,,258,3.42,0,,
6/29/89,73,47,52,0,,,,14,2.7,0,,
6/28/89,63,53,54,0,,,,10,4.55,8,St,
6/27/89,77,64,65,0,,,,304,3.84,8,Ci,
6/26/89,85,62,66,0,,,,258,2.63,6,Ci,
6/25/89,81,57,62,T,,,,52,2.99,2,Ci,
6/24/89,77,65,65,0,,,,349,3.27,8,St,
6/23/89,81,61,66,T,,,,164,3.68,8,Ns,
6/22/89,79,59,60,T,,,,127,2.57,9,,
6/21/89,74,60,62,0,,,,124,3.28,8,Ns,
6/20/89,80,59,62,T,,,,120,2.57,0,,
6/19/89,79,58,62,0,,,,165,2.44,7,Cu,
6/18/89,80,49,58,T,,,,253,2.61,0,,
6/17/89,61,54,54,0,,,,283,2.82,8,St,
6/16/89,61,51,54,0.27,,,,39,3.1,8,Ns,
6/15/89,55,49,51,0.13,,,,69,2.39,8,St,
6/14/89,52,50,50,0.25,,,,111,3.99,8,St,
6/13/89,55,53,54,0.11,,,,115,4.12,8,Ns,
6/12/89,67,52,55,0.15,,,,122,3.02,8,St,
6/11/89,73,46,57,0,,,,290,2.59,2,Cs,
6/10/89,67,49,53,0,,,,338,6.25,1,Cu,
6/9/89,62,56,58,1.26,,,,11,2.82,8,Ns,rain
6/8/89,73,54,56,0.44,,,,116,2.78,8,Ns,
6/7/89,83,52,58,0,,,,184,3.47,3,Sc,
6/6/89,73,46,53,0,,,,350,2.69,0,,
6/5/89,70,40,47,0.03,,,,72,2.49,0,,
6/4/89,63,41,51,0,,,,312,4.61,2,Cu,
6/3/89,58,54,55,0.07,,,,316,3.38,8,Sc,
6/2/89,74,54,56,0.16,,,,274,3.66,2,Cu,
6/1/89,67,54,54,T,,,,319,2.17,8,Ns,
5/31/89,66,55,58,0.93,,,,333,2.63,8,St,
5/30/89,62,54,55,0.03,,,,108,2.7,8,Ns,
5/29/89,78,48,58,0.09,,,,269,3.06,6,Ci,
5/28/89,71,39,49,0,,,,268,3.66,0,,
5/27/89,59,46,50,0,,,,321,6.18,0,,
5/26/89,68,56,56,T,,,,286,4.96,3,Sc,
5/25/89,72,55,58,0.62,,,,250,3.82,8,Ns,
5/24/89,74,51,56,0,,,,99,2.93,1,Cu,
5/23/89,80,50,54,T,,,,213,3.13,0,,
5/22/89,75,45,51,0,,,,80,2.46,0,,
5/21/89,71,43,57,0,,,,293,5.44,0,,
5/20/89,65,61,64,0.35,,,,322,3.64,8,Ns,
5/19/89,71,54,61,0.15,,,,170,3.92,8,Ns,
5/18/89,82,50,54,0,,,,182,3.35,3,Ci,
5/17/89,80,49,52,T,,,,129,2.68,0,,
5/16/89,74,45,50,0,,,,338,2.91,0,,
5/15/89,63,50,52,T,,,,217,2.8,8,Sc,
5/14/89,64,45,52,T,,,,61,2.29,8,Sc,
5/13/89,62,43,45,0.01,,,,108,4.04,8,St,
5/12/89,56,42,50,0.16,,,,40,5.21,8,St,
5/11/89,59,41,42,0,,,,56,4.76,0,,
5/10/89,57,40,44,0,,,,48,4.78,0,,
5/9/89,57,34,41,0,,,,27,4.78,0,,began using other gage
5/8/89,58,33,34,0,,,,340,5.32,0,,
5/7/89,42,30,34,0.01,,,,330,6.02,8,St,
5/6/89,43,31,34,0.03,T,T,,303,4.72,8,Cu,
5/5/89,58,50,51,0.02,,,,242,6.32,8,Ns,
5/4/89,68,39,52,0,,,,256,5.14,3,Cu,
5/3/89,63,36,39,0,,,,285,4.8,0,,
5/2/89,49,36,39,T,,,,3,4.56,0,,
5/1/89,48,36,37,0,,,,359,4.77,8,St,
4/30/89,50,38,44,0.01,,,,267,5.45,7,Ns,
4/29/89,51,36,38,T,,,,112,6.02,8,Ns,
4/28/89,48,35,36,0,,,,106,4.83,6,Sc,
4/27/89,57,44,48,0,,,,36,4.6,8,Sc,
4/26/89,61,44,44,0,,,,79,2.89,0,,
4/25/89,64,34,46,T,,,,103,3.92,7,Sc,
4/24/89,63,31,34,0,,,,151,2.51,7,Cu,
4/23/89,50,26,32,0,,,,102,3.37,0,,
4/22/89,45,32,36,0,,,,109,4.87,8,Sc,
4/21/89,52,31,33,0,,,,48,4.09,0,,
4/20/89,54,29,31,0,,,,330,3.62,0,,
4/19/89,46,25,32,0,,,,312,4.53,2,Cu,Ice Out!
4/18/89,44,23,25,0,,,,272,3.83,8,St,
4/17/89,42,34,42,0.26,,,,329,6.53,8,Ns,
4/16/89,66,30,34,0.13,,,,229,4.64,0,,
4/15/89,50,32,37,0,,0,,285,3.85,0,,
4/14/89,51,30,37,0.08,,0,,261,5.78,8,Ns,
4/13/89,44,29,30,0,0.25,0.25,,310,5.12,0,,
4/12/89,40,23,31,0.01,0.5,4,,291,4.6,5,St,
4/11/89,43,19,23,0,,4,,243,4.61,7,Sc,
4/10/89,33,17,25,0.01,0.75,5,,312,6.31,4,Cu,
4/9/89,28,13,17,T,0.25,5,,338,5.68,0,,
4/8/89,44,26,31,0,,7,,24,5.86,8,Sc,
4/7/89,40,29,29,0,,7,,352,3.31,6,Cu,
4/6/89,38,32,32,0.03,0.5,7,,337,4.57,8,Ns,
4/5/89,38,35,35,0.14,,7,,320,3.48,9,,
4/4/89,52,29,37,0.26,,10,,283,3.9,8,Ns,
4/3/89,50,27,29,0,,11,,117,5.03,0,,
4/2/89,40,27,40,0.03,,12,,258,6.19,,,
4/1/89,31,23,27,0,,14,,308,4.27,,,
3/31/89,31,29,29,0,,15,,334,6.65,8,Ns,
3/30/89,36,24,29,0,,16,,351,4.15,9,,
3/29/89,31,23,24,0,0.5,16,,101,4.71,8,Sc,
3/28/89,56,37,43,0.18,,18,,280,6,9,,
3/27/89,68,38,45,0.08,,23,,241,5.02,9,,
3/26/89,54,31,40,T,,26,,149,5.15,3,St,
3/25/89,46,33,38,0.01,,29,,323,3.65,8,Ns,
3/24/89,52,29,33,0,,30.5,,188,3.21,7,Sc,
3/23/89,49,-8,29,0,,34,,191,4.32,8,St,
3/22/89,34,-9,-8,0,,35,,245,3.3,0,,
3/21/89,26,-4,-4,0,T,35.5,,311,5.22,0,,
3/20/89,29,-12,24,0.02,1,35,,352,4.71,8,St,
3/19/89,30,-14,-12,0,,35.5,,252,3.28,0,,
3/18/89,24,8,11,T,7.25,39.5,,347,5,0,,
3/17/89,18,8,13,0.46,2,32,,49,3.26,8,Ns,
3/16/89,26,5,8,0.1,T,30.5,,295,4.82,7,Cs,
3/15/89,21,18,18,0.22,1.25,31,,357,6.6,8,Ns,
3/14/89,38,23,32,0.74,,31,,128,4.12,7,Sc,
3/13/89,34,11,23,T,,31,,244,5.13,7,Sc,
3/12/89,24,11,11,0,,31,,99,4.71,0,,
3/11/89,40,27,34,0,,33,,71,3.31,8,St,
3/10/89,43,19,27,0,,34.5,,191,3.26,8,Sc,
3/9/89,38,-2,19,0,,36,,118,2.68,7,Sc,
3/8/89,30,-9,-2,0,,36.75,,,,0,,
3/7/89,14,-12,-1,0,,37,,,,1,St,
3/6/89,17,-13,-12,T,T,38,,,,2,Cu,
3/5/89,16,2,2,T,0.25,39,,,,0,,
3/4/89,23,5,21,0.72,15,40,,,,8,Ns,
3/3/89,21,-3,5,0.5,,27,,,,8,St,
3/2/89,,,-12,0,,27,,,,1,Ci,
3/1/89,,,,T,1,28,,,,,,
2/28/89,26,5,,0.05,T,27,,226,4.22,,,
2/27/89,19,10,10,0.01,2,27,,330,4.48,,,
2/26/89,28,21,24,0.21,1.5,25.5,,354,3.45,,,
2/25/89,30,-1,21,0.13,2,24,,178,3.56,8,Ns,
2/24/89,28,-16,-1,0,,22,,224,4.51,0,,
2/23/89,16,-16,-16,0,,22,,20,3.21,0,,
2/22/89,11,11,11,T,T,22.5,,357,6.9,2,Cu,
2/21/89,32,0,11,0,,23,,328,3.64,8,St,
2/20/89,30,1,1,T,T,23.5,,5,2.46,0,,
2/19/89,25,6,6,0,3,24,,275,6.43,0,,
2/18/89,21,-14,,0.05,,22,,264,3.42,3,Sc,
2/17/89,17,-10,-3,0,,22,,319,3.89,8,Sc,
2/16/89,15,-2,-1,0,,22,,325,3.83,8,Sc,
2/15/89,34,20,23,0,,22,,321,5.15,8,St,
2/14/89,30,22,22,0,2.25,22.5,,288,5.56,1,St,
2/13/89,33,16,25,0.11,,21.5,,227,4.96,8,St,
2/12/89,28,19,19,0,T,24,,292,5.87,2,Cu,
2/11/89,27,8,21,0.03,3,26,,289,7.1,3,Cu,
2/10/89,25,4,8,0.12,3.5,24,,275,6.62,5,Cu,
2/9/89,17,0,4,0.04,T,23,,272,7.13,8,Sc,
2/8/89,17,16,17,0.3,9.5,27,,307,8.85,8,St,
2/7/89,22,6,16,0.15,3,20,,254,5.05,8,Ns,
2/6/89,19,7,7,0.03,1.5,17,,269,4.4,0,,
2/5/89,17,-3,6,0.01,0.5,16.5,,267,3.97,8,Cu,
2/4/89,10,-6,-1,0,,16.5,,303,3.8,4,St,
2/3/89,12,-9,-6,0,2.5,17,,230,3.83,1,Sc,
2/2/89,15,14,15,0.04,T,14,,29,3.47,8,St,
2/1/89,19,18,18,0,,14,,6,6.41,5,St,
1/31/89,43,26,40,T,,16,,268,6.83,8,As,
1/30/89,40,19,30,0.07,1.5,17.5,,270,4.32,2,Sc,
1/29/89,38,19,22,0.03,,18,,260,2.58,0,,
1/28/89,41,20,38,0,,18,,271,5.95,0,,
1/27/89,38,27,29,0,,18,,285,6.23,8,Sc,
1/26/89,30,21,29,0.24,4,19,,296,5.51,8,St,
1/25/89,30,20,21,0.08,,15.5,,126,7.99,8,St,
1/24/89,32,28,31,0,,15.5,,46,4.21,8,St,
1/23/89,42,28,31,0,,16,,278,5.31,2,St,
1/22/89,40,25,25,0,,18,,246,4.78,0,,
1/21/89,30,-5,,0,,19,,232,5.56,3,Sc,
1/20/89,29,14,14,0.07,0.75,19.25,,354,7.86,8,Sc,
1/19/89,34,16,24,0.03,T,19.5,,276,4.38,8,Sc,
1/18/89,33,22,28,0.25,3.5,20,,93,4.12,8,Ns,
1/17/89,28,19,28,0.14,2,17,,293,5.96,8,Sc,
1/16/89,30,20,21,0,,15,,257,3.98,0,,
1/15/89,33,22,32,0,,16,,282,6.93,8,Sc,
1/14/89,34,16,22,0,,16,,229,5.32,8,As,
1/13/89,24,16,18,0,,16,,283,6.24,8,St,
1/12/89,35,5,35,0.11,,16.5,,288,6.78,8,Sc,
1/11/89,36,0,5,0,1,19,,136,6.15,4,St,
1/10/89,28,13,22,0.27,5.5,21,,283,4.17,0,,
1/9/89,20,12,13,0.14,6,17,,255,3.25,8,Ns,
1/8/89,21,21,21,0.14,T,14,,270,9.95,8,St,
1/7/89,41,23,29,0.02,T,14,,132,6.02,8,Ns,
1/6/89,29,15,25,0,,15,,109,5.33,8,St,
1/5/89,27,-23,15,0.05,2,16,,136,4.79,8,Ns,
1/4/89,15,-23,-23,T,4,15.5,,92,3.6,0,,
1/3/89,18,-2,13,0.22,2,12.5,,94,4.47,8,Ns,
1/2/89,24,18,24,0.17,1.75,10.5,,326,5.15,8,St,
1/1/89,32,14,18,0.01,0.5,9,,209,4.19,8,Ns,
12/31/88,23,17,21,0,,9,,21,4.23,6,Sc,
12/30/88,28,10,22,0.01,5,9,,233,3.85,8,St,
12/29/88,22,13,13,0.04,1,9,,280,4.25,8,Sc,
12/28/88,25,22,23,T,0.5,9,,303,6.34,8,St,
12/27/88,36,23,28,0.38,5,9,,220,8.18,,,
12/26/88,28,20,23,0,,4,,71,5.01,,,
12/25/88,24,20,20,0,,4,,300,7.97,,,
12/24/88,37,32,32,T,,4,,273,4.7,,,
12/23/88,38,18,37,0.3,,4,,246,9.22,8,St,rain
12/22/88,37,14,18,0.03,0.25,4,,140,6.18,8,Sc,
12/21/88,25,21,21,T,,4,,3.19,5.54,7,Cu,
12/20/88,45,22,37,0.13,,6.5,,266,6.77,8,Ns,rain
12/19/88,38,10,22,0.06,2.5,9.75,,163,3.24,8,St,
12/18/88,22,5,10,0.06,0.75,8,,182,3.55,8,St,
12/17/88,20,8,17,0.02,1,7.75,,349,4.45,8,Sc,
12/16/88,17,9,12,0.02,1,7,,234,4.2,8,St,
12/15/88,16,10,10,0.01,1.25,6.75,,348,7.19,2,Cu,
12/14/88,34,23,32,0.35,1.75,6,,106,5.11,8,Ns,
12/13/88,32,10,23,0.05,0.5,4,,260,4.32,8,St,
12/12/88,23,-5,10,0,,3.5,,215,6.62,,,
12/11/88,10,1,1,0,1,4,,27,3.46,3,Sc,
12/10/88,14,6,9,0.07,1.25,4,,347,4.61,0,,lake froze over last night
12/9/88,19,17,17,0.1,2.5,3.5,,310,5.75,8,Sc,
12/8/88,26,23,23,0.01,0.75,1,,323,5.68,7,Cu,
12/7/88,34,32,32,0.04,0.5,0.5,,345,5.95,1,Cu,
12/6/88,48,29,32,0,,1,,260,6.65,0,,
12/5/88,37,28,30,0,,1.5,,255,4.25,8,Cu,
12/4/88,34,27,28,0,,1.5,,304,5.27,4,Cu,
12/3/88,39,33,39,0,,2,,324,10.02,1,St,
12/2/88,40,24,35,0,,4,,261,7.64,8,Ns,
12/1/88,35,26,26,T,0.25,5,,341,4.02,8,St,
11/30/88,34,29,34,0.24,6,6,,330,2.87,8,Sc,
11/29/88,34,28,30,0.21,T,T,,221,3.69,6,Cu,
11/28/88,36,33,33,0.06,T,T,,323,5.37,8,Ns,
11/27/88,45,33,45,0.39,,,,249,6.29,,,
11/26/88,49,33,41,0.28,,,,123,4.2,,,
11/25/88,49,31,34,0,,,,206,3.66,,,
11/24/88,45,30,31,0,,,,147,4.8,,,
11/23/88,39,29,29,0,,,,175,3.85,2,St,
11/22/88,38,33,34,0,,,,211,3.48,8,St,
11/21/88,35,34,34,0.03,,,,345,5.42,5,Cu,
11/20/88,41,36,39,T,,0,,349,4.68,8,Ns,
11/19/88,39,29,37,T,,1,,139,5.51,8,Ns,
11/18/88,39,31,31,0,,2,,293,3.95,,,
11/17/88,33,29,31,0.24,2.5,2.5,,274,9.61,8,Ns,
11/16/88,59,35,55,0.29,,,,231,9.76,8,Sc,
11/15/88,57,32,36,T,,,,129,6.77,8,Sc,
11/14/88,42,34,40,0,,,,294,5.54,8,Cu,
11/13/88,44,33,39,0.2,,,,266,5.05,8,Sc,
11/12/88,40,27,33,0.13,,,,152,5.47,8,St,
11/11/88,38,33,33,0,,,,319,4.85,8,Sc,
11/10/88,41,36,39,0.4,,,,344,6.54,8,Ns,rain
11/9/88,49,34,37,0,,,,197,3.53,8,St,
11/8/88,40,34,34,0.07,,,,290,2.71,8,Ns,
11/7/88,39,31,35,T,,,,288,2.19,8,Sc,
11/6/88,42,37,39,0.05,,,,140,6.65,8,Sc,
11/5/88,52,45,51,1.6,,,,108,5.33,9,,
11/4/88,54,31,45,0.23,,,,124,3.8,8,Ns,
11/3/88,45,29,31,0,,,,171,3.57,7,Sc,
11/2/88,35,34,34,0,,,,5,3.68,8,St,
11/1/88,40,33,37,0.1,,,,21,4.55,8,Ns,
10/31/88,42,27,33,0.06,,,,222,4.64,8,St,
10/30/88,35,31,31,0,,,,319,4.79,8,Sc,
10/29/88,35,30,32,0,,0,,309,6.86,7,Cu,
10/28/88,36,33,34,0.48,0.75,0.75,,292,9.14,8,St,
10/27/88,43,33,35,0.14,,,,184,4.58,,,
10/26/88,39,36,36,T,,,,292,3.88,,,
10/25/88,43,37,37,0.07,,,,321,4.77,,,
10/24/88,41,38,39,0.72,,,,359,5.37,,,
10/23/88,45,38,39,0.15,,,,147,3.41,,,
10/22/88,47,40,43,0.01,,,,350,3.75,,,
10/21/88,44,33,40,0.23,,,,183,3.18,8,Ns,
10/20/88,46,33,33,0.02,,,,227,2.04,1,Cu,
10/19/88,45,37,37,T,,,,176,2.29,8,Ns,
10/18/88,46,43,44,0.28,,,,343,5.68,8,Cu,
10/17/88,60,43,43,0.38,,,,287,3.47,1,St,
10/16/88,59,46,57,0.29,,,,209,4.33,7,St,
10/15/88,68,39,46,0,,,,173,2.38,6,Cu,
10/14/88,60,33,38,0,,,,259,3.57,1,Cu,
10/13/88,48,33,35,0,,,,280,3.96,4,Cu,
10/12/88,39,33,33,T,,,,4,5.41,8,Sc,
10/11/88,43,39,40,0.01,,,,4,7.58,8,Sc,
10/10/88,52,39,49,0.1,,,,327,7.08,4,Cu,
